WalkingDirection
away
towards
away
towards
towards
away
towards
away
away
towards
away
towards
away
towards
towards
away
towards
away
towards
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
towards
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
away
towards
away
towards
away
towards
away
towards
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
towards
away
